|Name|Units|Description|
|Video Poor Due To VideoLocalFrameLossPercentageAvg Count |Number of streams |Number of video streams where the Video Local Frame Loss Percentage Avg exceeds thresholds listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|Video Poor Due To VideoFrameRateAvg Count |Number of streams |Number of Video streams where the Video Frame Rate Avg exceeds thresholds listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|Video Poor Due to Freeze Count |Number of streams | Number of main video streams where the Video Freeze metric exceeds thresholds listed here. [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). This field is specific to Microsoft Teams only |
|Video Poor Stream Count |Number of streams |Number of video streams classified as poor based on network metrics listed here [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|Video Good Stream Count |Number of streams |Number of video streams classified as good based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|Video Unclassified Stream Count |Number of streams |Number of video streams that didn't have sufficient data to be classified as good or poor based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Unclassified streams are omitted from 'Poor Percentage' calculations. |
|Video Poor Percentage|Percentage |Percentage of classified video streams that were classified as poor based on network metrics listed here [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|Video Poor Percentage Due to Freeze|Percentage | Percentage of main video streams that were classified as poor based on the Video Poor metric Due to Freeze listed here [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). This field is specific to Microsoft Teams only |
|VBSS Stream Count |Number of streams |Number of video-based-screen sharing streams. |
|VBSS Poor Due To VideoPostFecplr Count |Number of streams |Number of video-based-screen-sharing streams where the Video Post Fec plr exceeds thresholds listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|VBSS Poor Due To VideoLocalFrameLossPercentageAvg Count |Number of streams |Number of video-based-screen-sharing streams where the Video Local Frame Loss Percentage Avg exceeds thresholds listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|VBSS Poor Due To VideoFrameRateAvg Count |Number of streams |Number of video-based-screen-sharing streams where the Video Frame Rate Avg exceeds thresholds listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|VBSS Poor Stream Count |Number of streams |Number of video-based-screen-sharing streams classified as poor based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|VBSS Good Stream Count |Number of streams |Number of video-based-screen-sharing streams classified as good based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|VBSS Unclassified Stream Count |Number of streams |Number of video-based-screen-sharing streams that didn't have sufficient data to be classified as good or poor based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Unclassified streams are omitted from 'Poor Percentage' calculations.|
|VBSS Poor Percentage |Percentage |Percentage of classified video-based-screen-sharing streams that classified as poor based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|Avg Call Duration |Seconds |Average duration of streams in seconds. |
|Total Audio Stream Duration (Minutes) |Minutes |Total audio stream duration in minutes in the selected time range. |
|First Feedback Rating Avg |User rating (1-5) |Average rating of streams reported by the user using the first endpoint. Calls are rated from 1-5 and the rating is applied to all streams of the call. |
|Second Feedback Rating Avg |User rating (1-5) |Average rating of streams reported by the user using the second endpoint. Calls are rated from 1-5 and the rating is applied to all streams of the call. |
|First Feedback Rating Count |Number of rated streams |Number of streams rated by the user using the first endpoint. Calls are rated from 1-5 and the rating is applied to all streams of the call. |
|Second Feedback Rating Count |Number of rated streams |Number of streams rated by the user using the second endpoint. Calls are rated from 1-5 and the rating is applied to all streams of the call. |
|First Feedback Rating Poor Count |Number of rated streams |Number of streams rated by the user using the first endpoint as either 1 or 2. Calls are rated from 1-5 and the rating is applied to all streams of the call. |
|Second Feedback Rating Poor Count |Number of rated streams |Number of streams rated by the user using the second endpoint as either 1 or 2. Calls are rated from 1-5 and the rating is applied to all streams of the call. |
|First Feedback Rating Poor Percentage |Number of rated streams |Percentage of all rated streams that are rated by the user using the first endpoint as either 1 or 2. Calls are rated from 1-5 and the rating is applied to all streams of the call. |
|Second Feedback Rating Poor Percentage |Number of rated streams |Percentage of all rated streams that are rated by the user using the second endpoint as either 1 or 2. Calls are rated from 1-5 and the rating is applied to all streams of the call. |
|First Feedback Token Audio Issue Count |Number rated streams |Number of streams where user using the first endpoint indicated an issue with audio. |
|Second Feedback Token Audio Issue Count |Number rated streams |Number of streams where user using the second endpoint indicated an issue with audio. |
|First Feedback Token Video Issue Count |Number of rated streams |Number of streams where user using the first endpoint indicated an issue with video. |
|Second Feedback Token Video Issue Count |Number of rated streams |Number of streams where user using the second endpoint indicated an issue with video. |
|Avg First Echo Percent Mic In |Percentage |Average percentage of time during the stream that the first endpoints detected echo in the audio from the capture or microphone device prior to echo cancellation. |
|Avg Second Echo Percent Mic In |Percentage |Average percentage of time during the stream that the second endpoints detected echo in the audio from the capture or microphone device prior to echo cancellation. |
|Avg First Echo Percent Send |Percentage |Average percentage of time during the stream that the first endpoints detected echo in the audio from the capture or microphone device after echo cancellation. |
|Avg Second Echo Percent Send |Percentage |Average percentage of time during the stream that the second endpoints detected echo in the audio from the capture or microphone device after echo cancellation. |
| Avg First Initial Signal Level RMS| Range (Decibels) |Average of the root-mean-square (RMS) of the received signal for the first 30 seconds of the call for the first endpoint.  See [2.2.1.28.1 Child Elements](/openspecs/office_protocols/ms-qoe/3c78f383-73fe-49f6-89cb-614e7aa8b2e7) for more information|
| Avg Second Initial Signal Level RMS|Range (Decibels) |Average of the root-mean-square (RMS) of the received signal for the first 30 seconds of the call for the second endpoint.|
| Avg First RxAGC Signal Level|Range (Decibels)  |Average signal level received at the automatic gain control for the first inbound audio stream. |
| Avg Second RxAGC Signal Level|Range (Decibels) |Average signal level received at the automatic gain control for the second inbound audio stream.|
| Avg First RxAGC Noise Level|Range (Decibels) |Average noise level received at the automatic gain control for the first inbound audio stream.|
| Avg Second RxAGC Noise Level|Range (Decibels) |Average noise level received at the automatic gain control for the second inbound audio stream.|
| Avg First Render Loopback Signal Level|Range (Decibels) | Average level of first speaker loopback signal (after any device offload effects are applied).|
| Avg Second Render Loopback Signal Level|Range (Decibels) | Average level of second speaker loopback signal (after any device offload effects are applied).|
|Avg First Audio Send Signal Level |Decibels |Average energy level of sent audio for audio classified as mono speech, or left channel of stereo speech sent by first endpoints. |
|Avg Second Audio Send Signal Level |Decibels |Average energy level of sent audio for audio classified as mono speech, or left channel of stereo speech sent by second endpoints. |
|Avg First Audio Received Signal Level |Decibels |Average energy level of received audio for audio classified as mono speech, or left channel of stereo speech by the first endpoints. |
|Avg Second Audio Received Signal Level |Decibels |Average energy level of received audio for audio classified as mono speech, or left channel of stereo speech by the second endpoints. |
|Avg First Audio Send Noise Level |Decibels |Average energy level of sent audio for audio classified as mono noise or left channel of stereo noise by the first endpoints. |
|Avg Second Audio Send Noise Level |Decibels |Average energy level of sent audio for audio classified as mono noise or left channel of stereo noise by the second endpoints. |
|Avg First Audio Received Noise Level |Decibels |Average energy level of received audio for audio classified as mono noise or left channel of stereo noise by the first endpoints. |
|Avg Second Audio Received Noise Level |Decibels |Average energy level of received audio for audio classified as mono noise or left channel of stereo noise by the second endpoints. |
|First Audio Echo BAD_TIMESTAMP Count |Number of streams |Number of streams where the echo is caused by bad device timestamps from the first endpoints that limited echo cancellation in audio sent. |
|First Audio Echo POSTAEC_ECHO Count |Number of streams |Number of streams where the high echo is detected after echo cancellation for audio sent by the first endpoints. |
|First Audio Echo EVENT_ANLP Count |Number of streams |Number of streams where the first endpoints detected noise in the captured audio that limited echo cancellation in audio sent. |
|First Audio Echo EVENT_DNLP Count |Number of streams |Number of streams where the first endpoints detected noise in the captured audio that limited echo cancellation in audio sent. |
|First Audio Echo MIC_CLIPPING Count |Number of streams |Number of streams where the first endpoints detected clipping in the captured audio that limited echo cancellation in audio sent. |
|First Audio Echo BAD_STATE Count |Number of streams |Number of streams where the first endpoints detected issues with the internal state that limited echo cancellation in audio sent. |
|Second Audio Echo BAD_TIMESTAMP Count |Number of streams |Number of streams where the echo is caused by bad device timestamps from the second endpoints that limited echo cancellation in audio sent. |
|Second Audio Echo POSTAEC_ECHO Count |Number of streams |Number of streams where the high echo is detected after echo cancellation for audio sent by the second endpoints. |
|Second Audio Echo EVENT_ANLP Count |Number of streams |Number of streams where the second endpoints detected noise in the captured audio that limited echo cancellation in audio sent. |
|Second Audio Echo EVENT_DNLP Count |Number of streams |Number of streams where the second endpoints detected noise in the captured audio that limited echo cancellation in audio sent. |
|Second Audio Echo MIC_CLIPPING Count |Number of streams |Number of streams where the second endpoints detected clipping in the captured audio that limited echo cancellation in audio sent. |
|Second Audio Echo BAD_STATE Count |Number of streams |Number of streams where the second endpoints detected issues with the internal state that limited echo cancellation in audio sent. |
|Avg Audio Degradation |Mean Opinion Score (0-5) |Average Network Mean Opinion Score degradation for streams. Represents how much the network loss and jitter impact the quality of received audio. |
|Avg Jitter |Milliseconds |Average network jitter for streams in milliseconds. This jitter metric is inter-arrival jitter as reported in the generic network payload, and is reported for all stream types. |
|Avg Jitter Max |Milliseconds |Maximum network jitter for streams in milliseconds. This jitter metric is inter-arrival jitter as reported in the generic network payload, and is reported for all stream types. |
|Avg Packet Loss Rate |Ratio |Average of average percentage of packets lost computed using 5 second interval for streams. 0.1 indicates 10% packet loss. |
|Avg Packet Loss Rate Max |Ratio |Average of maximum percentage of packets lost during any 5 second interval for streams. 0.1 indicates 10% packet loss. |
| Avg Send Listen MOS |Number |Average of the prediction of the Wideband Listening Quality Mean Opinion Score (MOS-LQ) of the audio stream that is being sent from the user.|
|Avg Overall Avg Network MOS |Mean Opinion Score (0-5) |Average or average network Mean Opinion Score for streams. Represents the average predicted quality of received audio factoring in network loss, jitter, and codec. |
|Avg Ratio Concealed Samples |Ratio |Average of average ratio of the number of audio frames with samples generated by packet loss concealment to the total number of audio frames for streams. 0.1 indicates 10% of frames contained concealed samples. |
| Avg Conceal Ratio Max| Ratio |Average of the maximum ratios of the number of audio frames with samples generated by packet loss concealment to the total number of audio frames for streams. 0.1 indicates 10% of frames contained concealed samples.|
|Avg Ratio Stretched Samples |Ratio |Average of average ratio of the number of audio frames with samples that are stretched to compensate for jitter or loss to the total number of audio frames for streams. 0.1 indicates 10% audio frames contained stretched samples. |
| Avg Healer Packet Drop Ratio|Range (Ratio)|Average ratio of audio packets dropped by healer over total number of audio packets received by healer. |
| Avg Healer FEC Packet Used Ratio|Range (Ratio)|Average ratio of used FEC packets over total number of received FEC packets.|
|Avg Round Trip |Milliseconds |Average of average network propagation round-trip time computed as specified in RFC3550 in milliseconds for streams. |
|Avg Round Trip Max |Milliseconds |Average of maximum network propagation round-trip time computed as specified in RFC3550 in milliseconds for streams. |
|Avg Packet Utilization|Number of packets|Average number of Real-Time Transport Protocol (RTP) packets sent per second in the session.|
|Avg Network Jitter |Milliseconds |   Average of network jitter computed over 20 second windows during the session. This metric is contained in the audio payload of the QoE. Stream types other than audio won't report a value for this measurement. |
| Avg Network Jitter Max|Milliseconds |Average of maximum network jitter in milliseconds computed over 20 second windows during the session. This metric is contained in the audio payload of the QoE. Stream types other than audio won't report a value for this measurement. |
| Avg Network Jitter Min|Milliseconds|Average of minimum network jitter values in milliseconds computed over 20 second windows during the session for streams. This metric is contained in the audio payload of the QoE. Stream types other than audio won't report a value for this measurement.|
| Avg Jitter Buffer Size|Milliseconds|Average size of jitter buffer during session. This metric is contained in the audio payload of the QoE. Stream types other than audio won't report a value for this measurement.|
| Avg Jitter Buffer Size Max|Milliseconds|Maximum size of jitter buffer during session. This metric is contained in the audio payload of the QoE. Stream types other than audio won't report a value for this measurement.|
| Avg Jitter Buffer Size Min|Milliseconds|Minimum size of jitter buffer during session. This metric is contained in the audio payload of the QoE. Stream types other than audio won't report a value for this measurement.|
| Avg Relative OneWay |Milliseconds|Average computed relative one way delay of the peer. |
| Avg Relative OneWay Gap Occurrences|Milliseconds|Average number of instances of gaps in the relative one way delay of the peer.|
| Avg Relative OneWay Gap Density|Milliseconds|Average density of gaps in the relative one way delay of the peer.|
| Avg Relative OneWay Gap Duration|Number (Milliseconds)|Average duration of gaps in the relative one way delay of the peer.|
|Avg Audio Post FECPLR |Ratio |Average of packet loss rate after FEC is applied for aggregated across all audio streams and codecs for streams. |
|Avg Video Post FECPLR |Ratio |Average of packet loss rate after FEC is applied for aggregated across all video streams and codecs for streams. |
|Avg Video Local Frame Loss Percentage |Percentage |Average percentage of video frames lost as displayed to the user for streams. This includes frames recovered from network losses. |
|Avg Video Received Frame Rate Average |Frames per second |Average of average frames per second received for all video streams computed over the duration of the session for streams. |
|Avg Video Low Frame Rate Call Percent |Percentage |Average of percentage of time of the call where frame rate is less than 7.5 frames per second for streams. |
|Avg Video Packet Loss Rate |Ratio |Average of average fraction of packets lost, as specified in [RFC3550](https://tools.ietf.org/html/rfc3550), computed over the duration of the session for streams. |
|Avg Video Frame Rate |Frames per second |Average frames per second received for a video stream, computed over the duration of the session. Values grouped by range. |
|Avg Video Dynamic Capability Percent |Milliseconds |Average of percentage of time that the client is running < 70% expected video processing capability for this type of CPU for streams. |
|Avg AppSharing Spoiled Tile Percent Total |Milliseconds |Average of percentage of tiles which are discarded instead of being sent to a remote peer (for example, from the MCU to a viewer) for streams. Discarded tiles might be caused by bandwidth restrictions between client and server. |
|Avg AppSharing Relative OneWay |Seconds |Average of average relative one-way delay between the endpoints in seconds for application sharing streams. |
|Avg AppSharing RDP Tile Processing Latency |Milliseconds |Average of average latency in milliseconds processing tiles on the RDP Stack at the conferencing server for streams. |
|Avg First Device Capture Not Functioning Event Ratio |Ratio |Average of the fraction of the call that the first endpoint detects the capture device isn't working properly. |
|Avg Second Device Capture Not Functioning Event Ratio |Ratio |Average of the fraction of the call that the second endpoint detects the capture device isn't working properly. |
|Avg First Device Render Not Functioning Event Ratio |Ratio |Average of the fraction of the call that the first endpoint detects the render device isn't working properly. |
|Avg Second Device Render Not Functioning Event Ratio |Ratio |Average of the fraction of the call that the second endpoint detects the render device isn't working properly. |
|Avg First Mic Glitch Rate| Number of glitches|Average First Mic Glitch Rate (glitches per 5 minutes for the endpoint microphone) for the stream.  |
| Avg Second Mic Glitch Rate|Number of glitches|Average Second Mic Glitch Rate (glitches per 5 minutes for the endpoint microphone) for the stream. |
| Avg First Speaker Glitch Rate|Number of glitches|Average First Speaker Glitch Rate (glitches per 5 minutes for the endpoint loudspeaker) for the stream. |
| Avg Second Speaker Glitch Rate|Number of glitches|Average Second Speaker Glitch Rate (glitches per 5 minutes for the endpoint loudspeaker) for the stream. |
| Avg First Send Mute Percent |Percentage|Average of the percentage of the audio stream that's muted from the first endpoint. |
| Avg Second Send Mute Percent |Percentage|Average of the percentage of the audio stream that's muted from the second endpoint. |
| First User Count|Number | Number of unique or distinct first endpoint users. Only available for the past 28 days of data. There's an up to 0.2% error for this measure. See note below for details.|
| Second User Count|Number|Number of unique or distinct second endpoint users. Only available for the past 28 days of data. There's an up to 0.2% error for this measure. See note below for details.|
| Avg First Device Glitches Event Ratio|Percentage|Average fraction of the calls that the first endpoint detected glitches or gaps in the media played or captured that caused poor quality of the media being sent or received.|
| Avg Second Device Glitches Event Ratio|Percentage|Average fraction of the call that the second endpoint detected glitches or gaps in the media played or captured that caused poor quality of the media being sent or received.|
| First Device Glitches Event Count| Number | Number of streams where the first endpoint detected significant glitches or gaps in the media played or captured that caused poor quality of the media being sent or received.|
| Second Device Glitches Event Count| Number | Number of streams where the second endpoint detected significant glitches or gaps in the media played or captured that caused poor quality of the media being sent or received.|
| PSTN Total Attempts Count | Number of calls | Total attempted calls, including successful calls and failed calls in the selected time range. There's an up to 0.2% error for this measure. See note below for details.|
|PSTN Total Connected Count | Number of calls | Total successfully connected calls in the selected time range. There's an up to 0.2% error for this measure. See note below for details.|
|PSTN Inbound Attempts Count | Number of calls | Total inbound attempted calls, including successful calls and failed calls in the select time range. There's an up to 0.2% error for this measure. See note below for details.|
|PSTN Inbound Connected Count | Number of calls | Total inbound successfully connected calls in the selected time range. There's an up to 0.2% error for this measure. See note below for details.|
|PSTN Outbound Attempts Count | Number of calls | Total outbound attempted calls, including successful calls and failed calls in the selected time range. There's an up to 0.2% error for this measure. See note below for details.|
|PSTN Outbound Connected Count | Number of Calls | Total outbound successfully connected calls in the selected time range. There's an up to 0.2% error for this measure. See note below for details.|
|PSTN Total Minutes | Minutes | Total minute usage in the selected time range.|
|PSTN Inbound Total Minutes | Minutes | Total inbound minute usage in the selected time range.|
|PSTN Outbound Total Minutes | Minutes | Total outbound minute usage in the selected time range.|
|PSTN Active User Count | Number of users | The number of users who made at least one connected call during that day.|
|PSTN Average Call Duration | Minutes | The average duration of all connected calls in the selected time range. Normally, a 1:1 PSTN call is four to five minutes. However, this average can differ for each company.|
|PSTN Total Inbound Concurrent Call Count | Number of calls | Maximum number of simultaneous active inbound calls in a minute.|
|PSTN Total Outbound Concurrent Call Count | Number of calls | Maximum number of simultaneous active outbound calls in a minute.|
|P50 Latency | Milliseconds | 50% of the requests should be faster than given latency.|
|P50 Jitter | Milliseconds | 50% of the requests should be faster than given Jitter.|
|P50 Packet Loss Rate | Percentage | 50% of the requests should have lower than the given Packet Loss Rate.|
|PSTN Outgoing Post Dial Delay| Milliseconds | The delay that occurs on outgoing calls measured from the time a number is dialed until the caller or called party hears ringing.|
|PSTN Incoming Post Dial Delay | Milliseconds | The time or delay that occurs on incoming calls measured from the time a number is dialed until the caller or called party hears ringing.|
|PSTN NER Good Percentage | Percentage | The NER measures the ability of a network to deliver calls by measuring the number of calls sent versus the number of calls delivered to a recipient.<br/>NER = (Answered calls + User Busy + Ring no Answer + Terminal Reject Seizures) / Total Attempt Calls x 100. There's an up to 0.2% error for this measure. See note below for details.|
| Avg Auto Attendant Chain Duration Seconds | Integer | The average duration that users spend in the Auto Attendant, measured in seconds. |
| Avg Call Queue Duration Seconds | Integer | The average duration that users are waiting for a Call Queue to be answered by an agent, measured in seconds. |
|Total Teams Events Stream Count|Integer|The total number of Teams Events streams.|
|Teams Events ECDN Error Stream Count|Integer|The total number of Teams Events streams that failed to establish due to eCDN errors.|
|Teams Events Setup Failure Stream Count|Integer|The number or Teams Events streams that failed to establish during media setup.|
|Teams Events Setup Succeeded Stream Count|Integer|The number or Teams Events streams that successfully established.|
|Teams Events Stream Setup Failure Percentage|Percentage|The percentage of Teams Events steams that failed to establish during media setup.|
| Detected Inbound Network Problem True Count | Integer | Number of instances that there's high confidence that a First-to-Second media stream might be impacted due to the inbound network. |
| Detected Inbound Network Problem False Count | Integer | Number of instances that there isn't high confidence that a First-to-Second media stream might be impacted due to the inbound network. |
| Detected Inbound Network Problem Null Count | Integer | Number of instances that the Detected Inbound Network Problem model returned a null value. See Detected Inbound Network Problem dimension for explanation. |
| Detected Inbound Network Problem Rate | Percentage | Percentage of streams for which there is high confidence that a First-to-Second media stream might be impacted due to the inbound network. |
