Type,Category,Name,Description,Units,Possible Reasons for blank values
Dimension,UserAgent,Conference Type,Type of conference URI.  <br/> **Example value:** conf:audio-video,,&bull; Non-conference scenario.
Dimension,UserAgent,Conference Id,,,
Dimension,UserAgent,First Client App Version,Version of the application used for the first endpoint. Data is parsed from the user agent string. <br/> **Example value:** 16.0.7766.2047,,&bull; The version string couldn't be parsed <br/>&bull; The value wasn't reported.
Dimension,UserAgent,Second Client App Version,Version of the application used for the second endpoint. Data is parsed from the user agent string. <br/> **Example value:** 16.0.7766.2047,,&bull; The version string couldn't be parsed <br/>&bull; The value wasn't reported.
Dimension,UserAgent,Meeting Id,"The identifier for the meeting, generated when the meeting is created.  <br/> **Example value:** 19:meeting_MzB...zIw@thread.v2",,
Dimension,UserAgent,First Client App Version Age,Client App Version Age indicates the age of the Teams client version (based on the Media Stack revision) in use by the first endpoint at the time the stream is established.,,
Dimension,UserAgent,Second Client App Version Age,Client App Version Age indicates the age of the Teams client version (based on the Media Stack revision) in use by the second endpoint at the time the stream is established.,,
Dimension,Network,Transport,Network transport type used by stream.  Unrecognized indicates that the system couldn't determine if the transport type is TCP or UDP.,,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,First Connectivity Ice,ICE connectivity type used by the first endpoint.,,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,Second Connectivity Ice,ICE connectivity type used by the second endpoint.,,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,First IP Address,IP address for first endpoint. Note this dimension might have too many rows to be used as dimension in a report. It can be used as a filter instead. <br/> **Example value:** 10.0.0.10,,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,Second IP Address,IP address for second endpoint. <br/> **Note:** This dimension might have too many rows to be used as dimension in a report. It can be used as a filter instead. <br/> **Example value:** 10.0.0.10,,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,First Link Speed,Link speed in bits per second reported by the network adapter used by the first endpoint. <br/> **Example value:** 10000000,,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,Second Link Speed,Link speed in bits per second reported by the network adapter used by the second endpoint. <br/> **Example value:** 10000000,,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,First Port,Network port number used by first endpoint for media. <br/> **Example value:** 50018,,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,Second Port,Network port number used by second endpoint for media. <br/> **Example value:** 50018,,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,First Reflexive Local IP,IP address of first endpoint as seen by the media relay server. This value is typically the public internet IP address associated to the first endpoint for the stream. <br/> **Example value:** 104.43.195.251,,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,Second Reflexive Local IP,IP address of second endpoint as seen by the media relay server. This value is typically the public internet IP address associated to the second endpoint for the stream. <br/> **Example value:** 104.43.195.251,,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,First Relay IP,IP address of the media relay server allocated by the first endpoint. <br/> **Example value:** 104.43.195.251,,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,Second Relay IP,IP address of the media relay server allocated by the second endpoint. <br/> **Example value:** 104.43.195.251,,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,First Relay Port,Media port allocated on the media relay server by the first endpoint. <br/> **Example value:** 3478,,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,Second Relay Port,Media port allocated on the media relay server by the second endpoint. <br/> **Example value:** 3478,,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,First Subnet,Subnet used for media stream by first endpoint with dashes separating each octet. <br/> **Example value:** 104.43.195.0,,&bull;Data not reported by the endpoint <br/>&bull; Media path wasn't established <br/>&bull; IPv6 was used
Dimension,Network,Second Subnet,Subnet used for media stream by second endpoint with dashes separating each octet. <br/> **Example value:** 104.43.195.0,,&bull;Data not reported by the endpoint <br/>&bull; Media path wasn't established <br/>&bull; IPv6 was used
Dimension,Network,First VPN,"True if the network adapter used by first endpoint indicated it's a VPN connection, False otherwise. Some VPNs don't correctly report this data correctly.",,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,Second VPN,"True if the network adapter used by second endpoint indicated it's a VPN connection, False otherwise. Some VPNs don't correctly report this data correctly.",,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,Applied Bandwidth Source,Identifies the source of bandwidth applied to the stream.,,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,Bandwidth Est,Average estimated bandwidth available between first and second endpoint in bits per second.  <br/> **Example value:** 026: [260000 - 270000),,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,Mediation Server Bypass Flag,"True if the media stream bypassed the Mediation Server and went straight between client and PSTN Gateway/PBX, False otherwise.",,&bull; Transport type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,First Cdr Connectivity Type,,,
Dimension,Network,Second Cdr Connectivity Type,,,
Dimension,Network,First BSSID,The Wireless LAN basic service set identifier of the First endpoint used to connect to the network.,,
Dimension,Network,Second BSSID,The Wireless LAN basic service set identifier of the Second endpoint used to connect to the network.,,
Dimension,Network,First Local Address,IP address that the first endpoint used for media flow at the end of media connectivity checks. Only available for the past 28 days of data and only visible to users with roles allowing EUII access. <br/> **Example value:** 10.0.0.10,,&bull; Transport Diagnostic type wasn't reported <br/>&bull; The media path wasn't established
Dimension,Network,Second Local Address,IP address that the second endpoint used for media flow at the end of media connectivity checks. Only available for the past 28 days of data and only visible to users with roles allowing EUII access. <br/> **Example value:** 10.0.0.10,,&bull; Transport Diagnostic type wasn't reported <br/>&bull; The media path wasn't established
